premise,choice1,choice2,label,loss_choice1,loss_choice2,pred
L'oggetto era incartato nella plastica bollata.,Era delicato.,Era piccolo.,0,4.48746395111084,4.550526142120361,0.0
Avevo svuotato le mie tasche.,Estrassi la matrice di un biglietto.,Trovai un'arma.,0,4.074368953704834,4.087223529815674,0.0
Le termiti invasero la casa.,Le termiti sparirono dalla casa.,Le termiti rosero il legno della casa.,1,4.713068962097168,4.590626239776611,1.0
I viaggiatori raggiunsero il confine.,L'agente di pattuglia controllò i loro passaporti.,L'agente di pattuglia li accusò di contrabbando.,0,3.482287883758545,3.723464250564575,0.0
L'ufficio era chiuso.,Era vacanza.,Era estate.,0,4.430924892425537,4.709580898284912,0.0
La ragazza esaurì le energie.,Aveva giocato a dama.,Aveva saltato la corda.,1,4.359970569610596,4.28642463684082,1.0
La donna aveva perso il suo posto in fila.,Più persone si misero in fila.,Si era tolta dalla fila.,1,4.2179131507873535,4.194981575012207,1.0
La ragazza si era tappata il naso.,La bambina aveva sbavato sul bavaglino.,La bambina aveva sporcato il pannolino.,1,3.7642312049865723,3.5189249515533447,1.0
Il gruppo suonò la loro canzone di successo.,Il pubblico applaudì a ritmo di musica.,Il pubblico ascoltò educatamente in silenzio.,0,3.769585132598877,3.661661148071289,1.0
La ragazza voleva ringraziare l'insegnante di matematica.,La ragazza rimase dopo scuola per punizione.,La ragazza portò una mela all'insegnante.,1,3.57383394241333,3.050522804260254,1.0
I giovani campeggiatori erano spaventati.,L'animatore raccontò loro una storia di paura.,Abbrustolirono marshmallows sul falò.,0,3.882396936416626,4.17122745513916,0.0
L'uomo sbatté la testa.,Si perse nei suoi pensieri.,Subì una commozione cerebrale.,1,4.383534908294678,3.7065372467041016,1.0
L'assegno che avevo formato era scoperto.,Il mio conto in banca era vuoto.,Avevo ricevuto un aumento di stipendio.,0,3.8611674308776855,3.670004367828369,1.0
La casella di posta dell'uomo era piena di spam.,Cancellò lo spam.,Inviò un email di massa.,0,3.9049012660980225,3.889023780822754,1.0
Il marinaio fu messo in quarantena.,Era stato esposto alla malattia.,Guarì dalla malattia.,0,4.019854545593262,4.167281627655029,0.0
La ragazza aveva memorizzato il codice.,Se lo era recitato fra sé e sé.,Si era dimenticata di annotarlo.,0,4.5483880043029785,4.2491865158081055,1.0
Versai l'acqua nel bicchiere.,L'acqua appagò la mia sete.,Il bicchiere si riempì.,1,4.030508995056152,4.09460973739624,0.0
L'uomo rimase silenzioso quando l'amico finì di parlare.,Voleva offrire supporto all'amico.,Stava pensando alle parole dell'amico.,1,3.411935567855835,3.3160953521728516,1.0
L'incidente era colpa mia.,Mi sentivo colpevole.,Feci denuncia.,0,4.352025985717773,4.814916610717773,0.0
La catena si ruppe.,La catena era montata su una ruota.,C'era un anello rotto nella catena.,1,4.528270244598389,4.456689357757568,1.0
La coppia aveva deciso di venire a un compromesso.,Si erano scocciati di litigare.,Evitavano di discutere del problema.,0,4.239701747894287,3.940204620361328,1.0
